lcbm,lcdm,lcyn
列车编码,列车代码,列车运量
354,K503,#N/A
355,K9401,2812
356,K9402,1832
357,K9447,2516
358,K9451,1280
359,L935,#N/A
360,Y115,#N/A
361,3277,1788
362,3278,1692
363,K4294,2442
364,L26,#N/A
365,K4076,2636
366,Y102,#N/A
367,Y152,#N/A
368,Z3,1858
369,Z4,#N/A
370,Z257,532
371,Z258,714
372,3541,#N/A
373,3587,3002
374,3588,3001
375,K4645,2545
376,K4646,2507
377,L741,#N/A
378,L795,#N/A
379,G401,556
380,G402,1028
381,G403,556
382,G404,480
383,G442,#N/A
384,G81,1028
385,G82,556
386,K473,2024
387,K474,1933
388,T88,#N/A
389,G1321,556
390,G1322,556
391,G1323,556
392,G1324,556
393,G1325,556
394,G1326,1005
395,G1327,556
396,G1328,556
397,G1329,1005
398,G1330,556
399,G1360,#N/A
400,G2302,1112
401,G4833,1005
402,G4834,1005
403,G4835,1005
404,G4836,1005
405,G4913,556
406,G4914,554
407,K4249,1377
408,K4250,2448
409,K4417,2507
410,K4418,2545
411,D2802,630
412,D2821,698
413,D2822,694
414,D2823,698
415,D2824,694
416,D2825,698
417,D2826,694
418,D2827,1396
419,D2828,1388
420,D2829,698
421,D2830,694
422,D2851,698
423,D2852,694
424,D2853,698
425,D2854,694
426,D2855,698
427,D2856,694
428,D2857,698
429,D2858,694
430,D2859,698
431,D2860,694
432,D2861,698
433,D2862,694
434,D2863,698
435,D2864,694
436,D4501,554
437,D4502,556
438,D4503,554
439,D4504,556
440,D4505,554
441,D4506,556
442,D4507,554
443,D4508,556
444,D4509,556
445,D4510,556
446,D4511,556
447,D4512,556
448,D4552,694
449,D4554,#N/A
450,D4651,698
451,D4652,694
452,G2917,606
453,G2918,585
454,K841,1669
455,L508,#N/A
456,L72,#N/A
457,3496,2740
458,K9408,2210
459,K9520,3360
460,K9524,2365
461,N748,#N/A
462,K144,1326
463,L794,#N/A
464,D5113,1418
465,D5129,1378
466,D67,#N/A
467,K9551,2114
468,3645,2414
469,K4587,836
470,D915,#N/A
471,3352,1260
472,3841,1658
473,D4551,698
474,K9410,3035
475,K9516,2550
476,3218,2744
477,L2226,#N/A
478,L278,#N/A
479,L604,#N/A
480,Y153,#N/A
481,K258,1635
482,L973,#N/A
483,T58,#N/A
484,K4902,1960
485,L102,#N/A
486,L18,#N/A
487,L20,#N/A
488,L22,#N/A
489,L228,#N/A
490,L34,#N/A
491,L376,#N/A
492,L394,#N/A
493,L92,#N/A
494,T150,#N/A
495,D5405,554
496,D5411,696
497,G1484,556
498,G2336,556
499,G4838,1112
500,K246,1504
501,3255,1942
502,3305,1487
503,D2214,1463
504,D2218,1463
505,D5403,716
506,D5412,696
507,G316,960
508,K1154,1525
509,K1158,1783
510,K1202,1676
511,K427,#N/A
512,K4618,3262
513,K678,1994
514,K698,1889
515,K724,1500
516,L1018,#N/A
517,L236,#N/A
518,L995,#N/A
519,Z124,891
520,3802,825
521,L966,#N/A
522,3338,3157
523,3516,3317
524,3600,2664
525,K1247,2110
526,K1272,#N/A
527,K4620,3600
528,K530,1644
529,K540,1350
530,L1620,#N/A
531,L200,#N/A
532,L620,#N/A
533,L778,#N/A
534,3056,3360
535,K2056,#N/A
536,K4978,3042
537,L498,#N/A
538,L842,#N/A
539,L856,#N/A
540,L96,#N/A
541,D5401,716
542,K1077,1872
543,K421,#N/A
544,D5417,696
545,D5418,696
546,G4832,997
547,G4840,#N/A
548,K4402,2166
549,L661,#N/A
550,3573,451
551,K812,#N/A
552,L123,#N/A
553,L211,#N/A
554,L607,#N/A
555,L73,#N/A
556,L75,#N/A
557,L945,#N/A
558,Y118,#N/A
559,Y132,#N/A
560,Y133,#N/A
561,K4373,#N/A
562,L1221,#N/A
563,L5,#N/A
564,L525,#N/A
565,L705,#N/A
566,L8,#N/A
567,L87,#N/A
568,K4525,2576
569,L356,#N/A
570,K1222,#N/A
571,K588,2006
572,1718,1520
573,K1616,1599
574,1266,#N/A
575,1486,1346
576,3308,3317
577,K1536,2007
578,K292,1737
579,K386,1577
580,K4348,1896
581,K6,1577
582,K870,1860
583,K880,1671
584,L1120,#N/A
585,L126,#N/A
586,L196,#N/A
587,L2132,#N/A
588,L2133,#N/A
589,L218,#N/A
590,L646,#N/A
591,3248,2580
592,K2066,#N/A
593,L1651,#N/A
594,1646,#N/A
595,3236,2492
596,D628,#N/A
597,K1064,1653
598,K1212,1878
599,K16,1519
600,K206,1468
601,K284,1515
602,K746,#N/A
603,K910,1682
604,L408,#N/A
605,3434,2734
606,3836,2392
607,3906,2879
608,D2228,698
609,D2234,698
610,D2248,1463
611,D2252,657
612,D2266,698
613,D2278,698
614,D4058,694
615,D4526,876
616,G1314,556
617,K1048,#N/A
618,K1196,#N/A
619,K2060,1331
620,K2332,#N/A
621,K4536,2888
622,K4542,2148
623,K962,1762
624,L1034,#N/A
625,L40,#N/A
626,L557,#N/A
627,T252,#N/A
628,T258,1667
629,L122,#N/A
630,L556,#N/A
631,L955,#N/A
632,K578,1511
633,L938,#N/A
634,Y136,#N/A
635,G1532,556
636,G1534,1061
637,D2272,698
638,G1522,556
639,G1524,1061
640,G1512,556
641,G1686,556
642,G2102,556
643,G2104,556
644,G2106,556
645,G2108,556
646,G2304,1112
647,G2308,556
648,G2334,556
649,G2364,1112
650,G3002,556
651,G3004,527
652,G3006,556
653,G3008,556
654,G3010,556
655,G3012,556
656,G3014,#N/A
657,K1342,1848
658,K4296,1245
659,L558,#N/A
660,K335,1662
661,3405,2294
662,K2058,1719
663,K4389,2740
664,L389,#N/A
665,1914,#N/A
666,K2038,#N/A
667,K788,1326
668,K693,#N/A
669,L505,#N/A
670,L258,#N/A
671,K196,1635
672,K998,1146
673,K1574,1340
674,K690,1386
675,L976,#N/A
676,K1076,#N/A
677,K2678,#N/A
678,K390,1274
679,K4140,3121
680,K664,1311
681,K806,1500
682,L1038,#N/A
683,T126,1773
684,T248,1432
685,T294,#N/A
686,3126,3200
687,3258,3035
688,3564,2816
689,3634,3102
690,3674,1852
691,3874,2434
692,6066,1278
693,K1004,1842
694,K1034,1696
695,K1174,1680
696,K1582,1725
697,K2120,#N/A
698,K2232,#N/A
699,K2322,#N/A
700,K4066,3077
701,K4234,2697
702,K424,1574
703,K4322,3288
704,K4331,#N/A
705,K4332,3102
706,K4572,2630
707,K4734,2922
708,K4914,1392
709,K4920,1638
710,K4968,3042
711,K542,1725
712,K570,#N/A
713,L1132,#N/A
714,L1148,#N/A
715,L1162,#N/A
716,L364,#N/A
717,L550,#N/A
718,L572,#N/A
719,L696,#N/A
720,L874,#N/A
721,L914,#N/A
722,D3521,556
723,D3523,698
724,D3525,698
725,D3527,698
726,D3529,698
727,D3551,698
728,D3553,698
729,D4561,698
730,K652,1140
731,K141,#N/A
732,K4791,1452
733,L791,#N/A
734,3311,1320
735,K4311,1584
736,K871,1064
737,3738,2498
738,3808,2860
739,D658,696
740,K1022,#N/A
741,K1094,1563
742,K1098,1494
743,K1258,1442
744,K1270,1666
745,K2202,#N/A
746,K358,2017
747,K3806,732
748,K3808,2026
749,K4182,#N/A
750,K4806,2520
751,L1138,#N/A
752,L1234,#N/A
753,L1262,#N/A
754,L2056,#N/A
755,L2156,#N/A
756,L2262,#N/A
757,L738,#N/A
758,6061,2112
759,6161,1352
760,K1049,#N/A
761,K113,1210
762,K1139,1482
763,K145,1349
764,K4745,#N/A
765,K671,1251
766,K673,#N/A
767,K853,1354
768,L267,#N/A
769,L683,#N/A
770,L745,#N/A
771,L747,#N/A
772,L775,#N/A
773,Y205,#N/A
774,6003,2494
