yyxlbm,lcbm,yxrq,trip_key,起点站,终到站,方向,列车定员,总上客量,总下客量,峰值车上人数,平均上座率,最大断面满载率,最拥挤区间,备注,人公里(PKM),车公里(TKM),平均断面客流
39,162,20150102,1400,成都东,重庆北,reverse,1418.0,1654.0,1654.0,1324.0,0.8692168693700798,0.9337094499294781,1689->1037,,385788.0,313.0,1232.5495207667732
39,157,20150102,1207,成都东,重庆北,reverse,1418.0,1008.0,1008.0,1008.0,0.7108603667136812,0.7108603667136812,1695->1694,,315504.0,313.0,1008.0
39,168,20150102,1709,成都东,重庆北,reverse,1418.0,1620.0,1620.0,1390.0,0.9361157549894781,0.9802538787023978,1689->1037,,415480.0,313.0,1327.4121405750798
39,172,20150102,1857,成都东,重庆北,reverse,1418.0,1399.0,1399.0,1256.0,0.8466250895605114,0.8857545839210155,1689->1037,,375761.0,313.0,1200.5143769968051
39,164,20150102,1445,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,170,20150102,1809,成都东,重庆北,reverse,1418.0,1432.0,1432.0,1364.0,0.8778845243942555,0.9619181946403385,1689->1037,,389635.0,313.0,1244.8402555910543
39,166,20150102,1555,成都东,重庆北,reverse,1418.0,1503.0,1503.0,1397.0,0.9590342335197394,0.9851904090267983,1689->1037,,425652.0,313.0,1359.9105431309904
39,148,20150102,0749,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,173,20150102,1938,成都东,重庆北,reverse,1418.0,1438.0,1438.0,1292.0,0.8275796806914297,0.9111424541607899,1689->1037,,367308.0,313.0,1173.5079872204474
39,175,20150102,2105,成都东,重庆北,reverse,1418.0,1440.0,1440.0,1300.0,0.8696021485510348,0.9167842031029619,1695->1694,,385959.0,313.0,1233.0958466453674
39,151,20150102,0910,重庆北,成都东,forward,1418.0,1640.0,1640.0,1236.0,0.8196510407044075,0.8716502115655853,1694->1695,,363789.0,313.0,1162.2651757188498
39,147,20150102,0740,重庆北,成都东,forward,1378.0,883.0,883.0,760.0,0.4624704971320198,0.5515239477503628,810->1694,,199470.0,313.0,637.2843450479234
39,153,20150102,1010,重庆北,成都东,forward,1418.0,1105.0,1105.0,1105.0,0.7792665726375176,0.7792665726375176,1037->1689,,345865.0,313.0,1105.0
39,149,20150102,0811,重庆北,成都,,1378.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
89,156,20150102,1130,重庆北,成都东,forward,1418.0,455.0,455.0,455.0,0.32087447108603667,0.32087447108603667,1037->1689,,142415.0,313.0,455.0
39,161,20150102,1427,重庆北,成都东,forward,1418.0,1362.0,1362.0,1209.0,0.8323539882027965,0.8526093088857546,1037->1689,,369427.0,313.0,1180.2779552715656
39,163,20150102,1530,重庆北,成都东,forward,1418.0,1890.0,1890.0,1315.0,0.8674436838998364,0.9273624823695346,1694->1695,,385001.0,313.0,1230.035143769968
89,283,20150102,1118,重庆北,成都东,forward,1418.0,616.0,616.0,616.0,0.43441466854724964,0.43441466854724964,1037->1689,,192808.0,313.0,616.0
39,159,20150102,1304,重庆北,成都东,forward,1418.0,2023.0,2023.0,1355.0,0.9049261660891235,0.9555712270803949,810->1694,,401637.0,313.0,1283.185303514377
39,165,20150102,1614,重庆北,成都东,forward,1418.0,1575.0,1575.0,1360.0,0.9161353118508271,0.9590973201692524,810->1694,,406612.0,313.0,1299.0798722044728
89,464,20150102,1226,重庆北,成都,forward,1418.0,1002.0,1002.0,1002.0,0.7066290550070522,0.7066290550070522,1037->1689,,332664.0,332.0,1002.0
39,167,20150102,1709,重庆北,成都东,forward,1418.0,1488.0,1488.0,1313.0,0.8663914887097428,0.9259520451339915,1037->1689,,384534.0,313.0,1228.5431309904154
39,169,20150102,1734,重庆北,成都,,1418.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
39,171,20150102,1827,重庆北,成都东,forward,1378.0,1383.0,1383.0,1206.0,0.6912504579030591,0.8751814223512336,1037->1689,,298146.0,313.0,952.5431309904153
