站点id,上客量,下客量,车上人数,yyxlbm,lcbm,yxrq,trip_key
1037,1105.0,0.0,1105.0,39,153,20150102,1010
1689,0.0,0.0,1105.0,39,153,20150102,1010
1690,0.0,0.0,1105.0,39,153,20150102,1010
810,0.0,0.0,1105.0,39,153,20150102,1010
1694,0.0,0.0,1105.0,39,153,20150102,1010
1695,0.0,1105.0,0.0,39,153,20150102,1010
1037,455.0,0.0,455.0,89,156,20150102,1130
1689,0.0,0.0,455.0,89,156,20150102,1130
1690,0.0,0.0,455.0,89,156,20150102,1130
810,0.0,0.0,455.0,89,156,20150102,1130
1694,0.0,0.0,455.0,89,156,20150102,1130
1695,0.0,455.0,0.0,89,156,20150102,1130
1037,1209.0,0.0,1209.0,39,161,20150102,1427
1689,106.0,144.0,1171.0,39,161,20150102,1427
1690,47.0,45.0,1173.0,39,161,20150102,1427
810,0.0,0.0,1173.0,39,161,20150102,1427
1694,0.0,0.0,1173.0,39,161,20150102,1427
1695,0.0,1173.0,0.0,39,161,20150102,1427
1037,1261.0,0.0,1261.0,39,163,20150102,1530
1689,252.0,352.0,1161.0,39,163,20150102,1530
1690,121.0,163.0,1119.0,39,163,20150102,1530
810,0.0,0.0,1119.0,39,163,20150102,1530
1694,256.0,60.0,1315.0,39,163,20150102,1530
1695,0.0,1315.0,0.0,39,163,20150102,1530
1037,616.0,0.0,616.0,89,283,20150102,1118
1689,0.0,0.0,616.0,89,283,20150102,1118
1690,0.0,0.0,616.0,89,283,20150102,1118
810,0.0,0.0,616.0,89,283,20150102,1118
1694,0.0,0.0,616.0,89,283,20150102,1118
1695,0.0,616.0,0.0,89,283,20150102,1118
1037,1262.0,0.0,1262.0,39,159,20150102,1304
1689,196.0,255.0,1203.0,39,159,20150102,1304
1690,108.0,127.0,1184.0,39,159,20150102,1304
810,457.0,286.0,1355.0,39,159,20150102,1304
1694,0.0,0.0,1355.0,39,159,20150102,1304
1695,0.0,1355.0,0.0,39,159,20150102,1304
1037,1285.0,0.0,1285.0,39,165,20150102,1614
1689,51.0,106.0,1230.0,39,165,20150102,1614
1690,16.0,35.0,1211.0,39,165,20150102,1614
810,223.0,74.0,1360.0,39,165,20150102,1614
1694,0.0,0.0,1360.0,39,165,20150102,1614
1695,0.0,1360.0,0.0,39,165,20150102,1614
1037,1002.0,0.0,1002.0,89,464,20150102,1226
1689,0.0,0.0,1002.0,89,464,20150102,1226
1690,0.0,0.0,1002.0,89,464,20150102,1226
810,0.0,0.0,1002.0,89,464,20150102,1226
1694,0.0,0.0,1002.0,89,464,20150102,1226
1695,0.0,0.0,1002.0,89,464,20150102,1226
1640,0.0,1002.0,0.0,89,464,20150102,1226
1037,1313.0,0.0,1313.0,39,167,20150102,1709
1689,117.0,212.0,1218.0,39,167,20150102,1709
1690,58.0,73.0,1203.0,39,167,20150102,1709
810,0.0,0.0,1203.0,39,167,20150102,1709
1694,0.0,0.0,1203.0,39,167,20150102,1709
1695,0.0,1203.0,0.0,39,167,20150102,1709
1037,1206.0,0.0,1206.0,39,171,20150102,1827
1689,68.0,391.0,883.0,39,171,20150102,1827
1690,14.0,52.0,845.0,39,171,20150102,1827
810,0.0,0.0,845.0,39,171,20150102,1827
1694,95.0,28.0,912.0,39,171,20150102,1827
1695,0.0,912.0,0.0,39,171,20150102,1827
1037,694.0,0.0,694.0,89,465,20150102,1959
1689,0.0,0.0,694.0,89,465,20150102,1959
1690,0.0,0.0,694.0,89,465,20150102,1959
810,0.0,0.0,694.0,89,465,20150102,1959
1694,0.0,0.0,694.0,89,465,20150102,1959
1695,0.0,694.0,0.0,89,465,20150102,1959
1695,1380.0,0.0,1380.0,39,157,20150103,1207
1694,0.0,0.0,1380.0,39,157,20150103,1207
810,0.0,0.0,1380.0,39,157,20150103,1207
1690,0.0,0.0,1380.0,39,157,20150103,1207
1689,0.0,0.0,1380.0,39,157,20150103,1207
1037,0.0,1380.0,0.0,39,157,20150103,1207
1695,1351.0,0.0,1351.0,39,154,20150103,1009
1694,0.0,0.0,1351.0,39,154,20150103,1009
810,0.0,0.0,1351.0,39,154,20150103,1009
1690,0.0,0.0,1351.0,39,154,20150103,1009
1689,0.0,0.0,1351.0,39,154,20150103,1009
1037,0.0,1351.0,0.0,39,154,20150103,1009
1695,1375.0,0.0,1375.0,39,158,20150103,1230
1694,0.0,0.0,1375.0,39,158,20150103,1230
810,91.0,137.0,1329.0,39,158,20150103,1230
1690,175.0,112.0,1392.0,39,158,20150103,1230
1689,124.0,113.0,1403.0,39,158,20150103,1230
1037,0.0,1403.0,0.0,39,158,20150103,1230
1695,1181.0,0.0,1181.0,39,152,20150103,0912
1694,0.0,0.0,1181.0,39,152,20150103,0912
810,0.0,0.0,1181.0,39,152,20150103,0912
1690,0.0,0.0,1181.0,39,152,20150103,0912
1689,0.0,0.0,1181.0,39,152,20150103,0912
1037,0.0,1181.0,0.0,39,152,20150103,0912
1695,1377.0,0.0,1377.0,39,162,20150103,1400
1694,0.0,0.0,1377.0,39,162,20150103,1400
810,76.0,141.0,1312.0,39,162,20150103,1400
1690,144.0,61.0,1395.0,39,162,20150103,1400
1689,99.0,92.0,1402.0,39,162,20150103,1400
1037,0.0,1402.0,0.0,39,162,20150103,1400
1695,1381.0,0.0,1381.0,39,160,20150103,1341
1694,0.0,0.0,1381.0,39,160,20150103,1341
810,0.0,0.0,1381.0,39,160,20150103,1341
1690,51.0,29.0,1403.0,39,160,20150103,1341
1689,34.0,34.0,1403.0,39,160,20150103,1341
1037,0.0,1403.0,0.0,39,160,20150103,1341
1695,1388.0,0.0,1388.0,39,172,20150103,1857
1694,45.0,90.0,1343.0,39,172,20150103,1857
810,0.0,0.0,1343.0,39,172,20150103,1857
1690,0.0,0.0,1343.0,39,172,20150103,1857
1689,84.0,27.0,1400.0,39,172,20150103,1857
1037,0.0,1400.0,0.0,39,172,20150103,1857
1695,1396.0,0.0,1396.0,39,168,20150103,1709
1694,87.0,119.0,1364.0,39,168,20150103,1709
810,0.0,0.0,1364.0,39,168,20150103,1709
1690,0.0,0.0,1364.0,39,168,20150103,1709
1689,75.0,41.0,1398.0,39,168,20150103,1709
1037,0.0,1398.0,0.0,39,168,20150103,1709
1695,1385.0,0.0,1385.0,39,170,20150103,1809
1694,0.0,0.0,1385.0,39,170,20150103,1809
810,0.0,0.0,1385.0,39,170,20150103,1809
1690,0.0,0.0,1385.0,39,170,20150103,1809
1689,116.0,101.0,1400.0,39,170,20150103,1809
1037,0.0,1400.0,0.0,39,170,20150103,1809
1695,1395.0,0.0,1395.0,39,173,20150103,1938
1694,0.0,0.0,1395.0,39,173,20150103,1938
810,0.0,0.0,1395.0,39,173,20150103,1938
1690,322.0,315.0,1402.0,39,173,20150103,1938
1689,100.0,100.0,1402.0,39,173,20150103,1938
1037,0.0,1402.0,0.0,39,173,20150103,1938
1695,1398.0,0.0,1398.0,39,175,20150103,2105
1694,0.0,0.0,1398.0,39,175,20150103,2105
810,148.0,214.0,1332.0,39,175,20150103,2105
1690,69.0,19.0,1382.0,39,175,20150103,2105
1689,42.0,62.0,1362.0,39,175,20150103,2105
1037,0.0,1362.0,0.0,39,175,20150103,2105
1695,1393.0,0.0,1393.0,39,166,20150103,1555
1694,0.0,0.0,1393.0,39,166,20150103,1555
810,0.0,0.0,1393.0,39,166,20150103,1555
1690,0.0,0.0,1393.0,39,166,20150103,1555
1689,73.0,62.0,1404.0,39,166,20150103,1555
1037,0.0,1404.0,0.0,39,166,20150103,1555
1037,664.0,0.0,664.0,39,147,20150103,0740
1689,0.0,0.0,664.0,39,147,20150103,0740
1690,0.0,0.0,664.0,39,147,20150103,0740
810,818.0,169.0,1313.0,39,147,20150103,0740
1694,0.0,0.0,1313.0,39,147,20150103,0740
1695,0.0,1313.0,0.0,39,147,20150103,0740
1037,1290.0,0.0,1290.0,39,151,20150103,0910
1689,106.0,119.0,1277.0,39,151,20150103,0910
1690,102.0,130.0,1249.0,39,151,20150103,0910
810,0.0,0.0,1249.0,39,151,20150103,0910
1694,139.0,35.0,1353.0,39,151,20150103,0910
1695,0.0,1353.0,0.0,39,151,20150103,0910
1037,1315.0,0.0,1315.0,89,156,20150103,1130
1689,0.0,0.0,1315.0,89,156,20150103,1130
1690,0.0,0.0,1315.0,89,156,20150103,1130
810,0.0,0.0,1315.0,89,156,20150103,1130
1694,0.0,0.0,1315.0,89,156,20150103,1130
1695,0.0,1315.0,0.0,89,156,20150103,1130
1037,1321.0,0.0,1321.0,89,283,20150103,1118
1689,0.0,0.0,1321.0,89,283,20150103,1118
1690,0.0,0.0,1321.0,89,283,20150103,1118
810,0.0,0.0,1321.0,89,283,20150103,1118
1694,0.0,0.0,1321.0,89,283,20150103,1118
1695,0.0,1321.0,0.0,89,283,20150103,1118
1037,1336.0,0.0,1336.0,39,153,20150103,1010
1689,0.0,0.0,1336.0,39,153,20150103,1010
1690,0.0,0.0,1336.0,39,153,20150103,1010
810,0.0,0.0,1336.0,39,153,20150103,1010
1694,0.0,0.0,1336.0,39,153,20150103,1010
1695,0.0,1336.0,0.0,39,153,20150103,1010
1037,1352.0,0.0,1352.0,39,159,20150103,1304
1689,91.0,71.0,1372.0,39,159,20150103,1304
1690,60.0,65.0,1367.0,39,159,20150103,1304
810,181.0,134.0,1414.0,39,159,20150103,1304
1694,0.0,0.0,1414.0,39,159,20150103,1304
1695,0.0,1414.0,0.0,39,159,20150103,1304
1037,1332.0,0.0,1332.0,39,163,20150103,1530
1689,324.0,390.0,1266.0,39,163,20150103,1530
1690,152.0,214.0,1204.0,39,163,20150103,1530
810,0.0,0.0,1204.0,39,163,20150103,1530
1694,239.0,49.0,1394.0,39,163,20150103,1530
1695,0.0,1394.0,0.0,39,163,20150103,1530
1037,1342.0,0.0,1342.0,39,161,20150103,1427
1689,105.0,98.0,1349.0,39,161,20150103,1427
1690,48.0,39.0,1358.0,39,161,20150103,1427
810,0.0,0.0,1358.0,39,161,20150103,1427
1694,0.0,0.0,1358.0,39,161,20150103,1427
1695,0.0,1358.0,0.0,39,161,20150103,1427
1037,1335.0,0.0,1335.0,39,165,20150103,1614
1689,27.0,21.0,1341.0,39,165,20150103,1614
1690,10.0,13.0,1338.0,39,165,20150103,1614
810,89.0,16.0,1411.0,39,165,20150103,1614
1694,0.0,0.0,1411.0,39,165,20150103,1614
1695,0.0,1411.0,0.0,39,165,20150103,1614
1037,1330.0,0.0,1330.0,89,464,20150103,1226
1689,0.0,0.0,1330.0,89,464,20150103,1226
1690,0.0,0.0,1330.0,89,464,20150103,1226
810,0.0,0.0,1330.0,89,464,20150103,1226
1694,0.0,0.0,1330.0,89,464,20150103,1226
1695,0.0,0.0,1330.0,89,464,20150103,1226
1640,0.0,1330.0,0.0,89,464,20150103,1226
1037,1332.0,0.0,1332.0,39,167,20150103,1709
1689,158.0,162.0,1328.0,39,167,20150103,1709
1690,80.0,63.0,1345.0,39,167,20150103,1709
810,0.0,0.0,1345.0,39,167,20150103,1709
1694,0.0,0.0,1345.0,39,167,20150103,1709
1695,0.0,1345.0,0.0,39,167,20150103,1709
1037,1336.0,0.0,1336.0,89,465,20150103,1959
1689,0.0,0.0,1336.0,89,465,20150103,1959
1690,0.0,0.0,1336.0,89,465,20150103,1959
810,0.0,0.0,1336.0,89,465,20150103,1959
1694,0.0,0.0,1336.0,89,465,20150103,1959
1695,0.0,1336.0,0.0,89,465,20150103,1959
1037,1328.0,0.0,1328.0,39,171,20150103,1827
1689,84.0,123.0,1289.0,39,171,20150103,1827
1690,31.0,68.0,1252.0,39,171,20150103,1827
810,0.0,0.0,1252.0,39,171,20150103,1827
1694,95.0,8.0,1339.0,39,171,20150103,1827
1695,0.0,1339.0,0.0,39,171,20150103,1827
1037,286.0,0.0,286.0,89,177,20150103,0618
1689,0.0,0.0,286.0,89,177,20150103,0618
1690,0.0,0.0,286.0,89,177,20150103,0618
810,0.0,0.0,286.0,89,177,20150103,0618
1694,0.0,0.0,286.0,89,177,20150103,0618
1695,0.0,0.0,286.0,89,177,20150103,0618
1640,0.0,286.0,0.0,89,177,20150103,0618
1695,676.0,0.0,676.0,39,154,20150104,1009
1694,0.0,0.0,676.0,39,154,20150104,1009
810,0.0,0.0,676.0,39,154,20150104,1009
1690,0.0,0.0,676.0,39,154,20150104,1009
1689,0.0,0.0,676.0,39,154,20150104,1009
1037,0.0,676.0,0.0,39,154,20150104,1009
1695,1354.0,0.0,1354.0,39,158,20150104,1230
1694,0.0,0.0,1354.0,39,158,20150104,1230
810,185.0,270.0,1269.0,39,158,20150104,1230
1690,200.0,97.0,1372.0,39,158,20150104,1230
1689,180.0,180.0,1372.0,39,158,20150104,1230
1037,0.0,1372.0,0.0,39,158,20150104,1230
1695,1169.0,0.0,1169.0,39,152,20150104,0912
1694,0.0,0.0,1169.0,39,152,20150104,0912
810,0.0,0.0,1169.0,39,152,20150104,0912
1690,0.0,0.0,1169.0,39,152,20150104,0912
1689,0.0,0.0,1169.0,39,152,20150104,0912
1037,0.0,1169.0,0.0,39,152,20150104,0912
1695,1354.0,0.0,1354.0,39,162,20150104,1400
1694,0.0,0.0,1354.0,39,162,20150104,1400
810,95.0,177.0,1272.0,39,162,20150104,1400
1690,159.0,57.0,1374.0,39,162,20150104,1400
1689,90.0,90.0,1374.0,39,162,20150104,1400
1037,0.0,1374.0,0.0,39,162,20150104,1400
1695,680.0,0.0,680.0,39,157,20150104,1207
1694,0.0,0.0,680.0,39,157,20150104,1207
810,0.0,0.0,680.0,39,157,20150104,1207
1690,0.0,0.0,680.0,39,157,20150104,1207
1689,0.0,0.0,680.0,39,157,20150104,1207
1037,0.0,680.0,0.0,39,157,20150104,1207
1695,680.0,0.0,680.0,39,168,20150104,1709
1694,102.0,120.0,662.0,39,168,20150104,1709
810,0.0,0.0,662.0,39,168,20150104,1709
1690,0.0,0.0,662.0,39,168,20150104,1709
1689,38.0,21.0,679.0,39,168,20150104,1709
1037,0.0,679.0,0.0,39,168,20150104,1709
1695,1357.0,0.0,1357.0,39,170,20150104,1809
1694,0.0,0.0,1357.0,39,170,20150104,1809
810,0.0,0.0,1357.0,39,170,20150104,1809
1690,0.0,0.0,1357.0,39,170,20150104,1809
1689,82.0,66.0,1373.0,39,170,20150104,1809
1037,0.0,1373.0,0.0,39,170,20150104,1809
1695,1356.0,0.0,1356.0,39,173,20150104,1938
1694,0.0,0.0,1356.0,39,173,20150104,1938
810,0.0,0.0,1356.0,39,173,20150104,1938
1690,63.0,66.0,1353.0,39,173,20150104,1938
1689,81.0,65.0,1369.0,39,173,20150104,1938
1037,0.0,1369.0,0.0,39,173,20150104,1938
1695,685.0,0.0,685.0,39,175,20150104,2105
1694,0.0,0.0,685.0,39,175,20150104,2105
810,49.0,49.0,685.0,39,175,20150104,2105
1690,11.0,21.0,675.0,39,175,20150104,2105
