zdid,lxid,ysfsbm,zdmc,station_code,station_telecode,station_shortname
站点id,,,站点名称,站点code,站点电报码,
141,1,1,呼和浩特  ,12581,HHC,呼
142,1,1,台阁牧    ,12596,TMC,台
143,1,1,毕克齐    ,12602,BKC,毕
144,1,1,察素齐    ,12605,CSC,察
145,1,1,陶思浩    ,12611,TSC,陶
146,1,1,美岱召    ,12617,MDC,美
147,1,1,萨拉齐东  ,12622,SCC,萨
148,1,1,萨拉齐    ,12623,SLC,萨
149,1,1,公积坂    ,12629,GJC,公
150,1,1,东兴      ,12635,DXC,东
151,1,1,包头东    ,12647,BDC,包
152,1,1,清河      ,12707,QIP,清
153,1,1,清华园    ,12710,QHP,清
154,1,1,北京北    ,12713,VAP,京
155,1,1,滩头湾    ,12804,TAQ,滩
156,1,1,石景山南  ,13385,SRP,石
157,1,1,大灰厂    ,14186,DHP,大
158,1,1,上万      ,14189,SWP,上
159,1,1,南观村    ,14192,NGP,南
160,1,1,燕山      ,14195,AOP,燕
161,1,1,良各庄    ,14204,LGP,良
162,1,1,孤山口    ,14213,GSP,孤
163,1,1,云居寺    ,14219,AFP,云
164,1,1,三合庄    ,14222,SVP,三
165,1,1,十渡      ,14225,SEP,十
166,1,1,平峪      ,14228,PYP,平
167,1,1,百里峡    ,14234,AAP,百
168,1,1,野三坡    ,14237,AIP,野
169,1,1,福山口    ,14240,FKP,福
170,1,1,白涧      ,14243,BAP,白
171,1,1,板城      ,14264,BUP,板
172,1,1,南城司    ,14267,NSP,南
173,1,1,奇峰塔    ,14270,QVP,奇
174,1,1,紫荆关    ,14273,ZYP,紫
175,1,1,大盘石    ,14276,RPP,大
176,1,1,塔崖驿    ,14279,TYP,塔
177,1,1,王安镇    ,14282,WVP,王
178,1,1,浮图峪    ,14288,FYP,浮
179,1,1,北屯      ,14291,BYP,北
180,1,1,涞源      ,14294,LYP,涞
181,1,1,小西庄    ,14297,XXP,小
182,1,1,艾河      ,14300,AHP,艾
183,1,1,招柏      ,14306,ZBP,招
184,1,1,云彩岭    ,14309,ACP,云
185,1,1,大涧      ,14312,DFP,大
186,1,1,灵丘      ,14315,LVV,灵
187,1,1,平型关    ,14342,PGV,平
188,1,1,东淤地    ,14345,DBV,东
189,1,1,东庄      ,14348,DZV,东
190,1,1,大营      ,14351,DYV,大
191,1,1,五台山    ,14357,WSV,五
192,1,1,繁峙      ,14366,FSV,繁
193,1,1,下社      ,14369,XSV,下
194,1,1,枣林      ,14372,ZIV,枣
195,1,1,代县      ,14375,DKV,代
196,1,1,阳明堡    ,14378,YVV,阳
197,1,1,薛孤      ,14387,XVV,薛
198,1,1,原平      ,14390,YPV,原
199,1,1,万水泉    ,14486,WAC,万
200,1,1,包头      ,14489,BTC,包
201,1,1,包头西    ,14507,BXC,包
202,1,1,哈业胡同  ,14570,HTC,哈
203,1,1,白彦花    ,14576,BHC,白
204,1,1,公庙子    ,14588,GMC,公
205,1,1,乌拉山    ,14594,WSC,乌
206,1,1,乌拉特前旗,14600,WQC,乌
207,1,1,西小召    ,14612,XZC,西
208,1,1,东土城    ,14618,DTC,东
209,1,1,五原      ,14624,WYC,五
210,1,1,四分滩    ,14636,SFC,四
211,1,1,杜家台    ,14642,DJC,杜
212,1,1,临河      ,14648,LHC,临
213,1,1,头道桥    ,14678,TDC,头
214,1,1,巴彦高勒  ,14690,BAC,巴
215,1,1,杭锦旗    ,14696,HJC,杭
216,1,1,桃司兔    ,14705,TTC,桃
217,1,1,碱柜      ,14717,JGC,碱
218,1,1,乌海北    ,14723,WBC,乌
219,1,1,乌海      ,14729,WVC,乌
220,1,1,乌海西    ,14759,WXC,乌
221,1,1,惠农      ,14789,HMJ,惠
222,1,1,平罗      ,14822,SZJ,平
223,1,1,石嘴山    ,14825,QQJ,石
224,1,1,西大滩    ,14828,XAJ,西
225,1,1,暖泉      ,14834,NQJ,暖
226,1,1,银川      ,14846,YIJ,银
227,1,1,银川南    ,14866,YEJ,银
228,1,1,黄羊滩    ,14876,HGJ,黄
229,1,1,大坝      ,14888,DBJ,大
230,1,1,青铜峡    ,14894,QTJ,青
231,1,1,中宁      ,14915,VNJ,中
232,1,1,黄羊湾    ,14921,HWJ,黄
233,1,1,柳家庄    ,14924,LKJ,柳
234,1,1,中卫      ,14933,ZWJ,中
235,1,1,迎水桥    ,14954,YQJ,迎
236,1,1,沙坡头    ,14957,SFJ,沙
237,1,1,干塘      ,14978,GNJ,干
238,1,1,营盘水    ,15002,YZJ,营
239,1,1,长城      ,15011,CEJ,长
240,1,1,景泰      ,15014,JTJ,景
241,1,1,兴泉堡    ,15017,XQJ,兴
242,1,1,红岘台    ,15032,HTJ,红
243,1,1,红砂岘    ,15041,VSJ,红
244,1,1,白银西    ,15044,BXJ,白
245,1,1,朱家窑    ,15068,ZUJ,朱
246,1,1,丰水村    ,15071,FSJ,丰
247,1,1,皋兰      ,15077,GEJ,皋
248,1,1,邵家堂    ,15086,SJJ,邵
249,1,1,水源      ,15089,OYJ,水
250,1,1,兰州东    ,15104,LVJ,兰
251,1,1,杭锦后旗  ,15800,HDC,杭
252,1,1,呼和温都尔,15803,HPC,呼
253,1,1,农垦四团  ,15806,NKC,农
254,1,1,毛德呼热  ,15809,MFC,毛
255,1,1,查干得日斯,15812,CPC,查
256,1,1,多尔本毛道,15815,DGC,多
257,1,1,图克木庙  ,15818,TKC,图
258,1,1,莫尔格    ,15821,MEC,莫
259,1,1,格勒      ,15824,GKC,格
260,1,1,互做布其  ,15827,HZC,互
261,1,1,苏宏图    ,15830,SKC,苏
262,1,1,阿达日嘎  ,15833,AEC,阿
263,1,1,塔拉哈尔  ,15836,TLC,塔
264,1,1,沃博尔    ,15839,WEC,沃
265,1,1,辉森乌拉西,15842,HXC,辉
266,1,1,天鹅湖    ,15845,TEC,天
